staging_id,raw_id,inmobiliaria_id,validation_score,priority_estimada,geocoding_status,precio,moneda,latitud,longitud,titulo,url_normalizada,warnings
81706,82196,3531,75,2,done,500000,ARS,-34.9802043,-67.6885147,Local en Alquiler,inmobiliariaangelinam.com.ar/ver.php?id=90&propiedad=local+en+alquiler+ubicada+en+general+alvear%2C+mendoza,missing_city_or_province_but_coords_present;missing_images
81712,82202,3531,75,2,done,500000,ARS,-34.9802043,-67.6885147,Local en Alquiler,inmobiliariaangelinam.com.ar/ver.php?id=84&propiedad=local+en+alquiler+ubicada+en+general+alvear%2C+mendoza,missing_city_or_province_but_coords_present;missing_images
81719,82209,3531,75,2,done,230000,ARS,-34.9792437,-67.6887205,Departamento en Alquiler,inmobiliariaangelinam.com.ar/ver.php?id=77&propiedad=departamento+en+alquiler+ubicada+en+general+alvear%2C+mendoza,missing_city_or_province_but_coords_present;missing_images
81720,82210,3531,75,2,done,300000,ARS,-34.9706556,-67.7024635,Casa en Alquiler,inmobiliariaangelinam.com.ar/ver.php?id=76&propiedad=casa+en+alquiler+ubicada+en+general+alvear%2C+mendoza,missing_city_or_province_but_coords_present;missing_images
81721,82211,3531,75,2,done,130000,ARS,-34.9799031,-67.6867473,Departamento en Alquiler,inmobiliariaangelinam.com.ar/ver.php?id=75&propiedad=departamento+en+alquiler+ubicada+en+general+alvear%2C+mendoza,missing_city_or_province_but_coords_present;missing_images
81724,82214,3531,75,2,done,280000,ARS,-34.9749701,-67.6825383,Casa en Alquiler,inmobiliariaangelinam.com.ar/ver.php?id=72&propiedad=casa+en+alquiler+ubicada+en+general+alvear%2C+mendoza,missing_city_or_province_but_coords_present;missing_images
81727,82217,3531,75,2,done,170000,ARS,-34.9748041,-67.699198,Departamento en Alquiler,inmobiliariaangelinam.com.ar/ver.php?id=69&propiedad=departamento+en+alquiler+ubicada+en+general+alvear%2C+mendoza,missing_city_or_province_but_coords_present;missing_images
81728,82218,3531,75,2,done,127000,ARS,-34.9748041,-67.699198,Departamento en Alquiler,inmobiliariaangelinam.com.ar/ver.php?id=68&propiedad=departamento+en+alquiler+ubicada+en+general+alvear%2C+mendoza,missing_city_or_province_but_coords_present;missing_images
81733,82223,3531,75,2,done,160000,ARS,-34.9792437,-67.6887205,Departamento en Alquiler,inmobiliariaangelinam.com.ar/ver.php?id=63&propiedad=departamento+en+alquiler+ubicada+en+general+alvear%2C+mendoza,missing_city_or_province_but_coords_present;missing_images
81734,82224,3531,75,2,done,180000,ARS,-34.9712051,-67.7003591,Departamento en Alquiler,inmobiliariaangelinam.com.ar/ver.php?id=62&propiedad=departamento+en+alquiler+ubicada+en+general+alvear%2C+mendoza,missing_city_or_province_but_coords_present;missing_images
